                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6098,                0.00162,                0.00918,                   5.24,              0.0033319,              0.0033319,              0.0033319
                      2,                 2.6206,                0.00162,                0.03456,                 5.2402,              0.0065553,              0.0065553,              0.0065553
                      3,                 2.0935,                 0.0054,                 0.0378,                 5.2371,              0.0096686,              0.0096686,              0.0096686
                      4,                  1.844,                0.00594,                0.04806,                 5.2383,               0.009505,               0.009505,               0.009505
                      5,                 1.5841,                0.01296,                 0.0513,                 5.2345,               0.009505,               0.009505,               0.009505
                      6,                 1.3997,                0.01458,                0.05022,                 5.2323,                0.00934,                0.00934,                0.00934
                      7,                 1.2611,                0.01188,                 0.0486,                 5.2317,               0.009175,               0.009175,               0.009175
                      8,                 1.1532,                0.01728,                  0.054,                 5.2293,                0.00901,                0.00901,                0.00901
                      9,                 1.0486,                 0.0189,                0.05562,                 5.2279,               0.008845,               0.008845,               0.008845
                     10,                0.97176,                0.02052,                0.05886,                 5.2273,                0.00868,                0.00868,                0.00868
                     11,                0.89011,                0.01944,                0.05886,                 5.2263,               0.008515,               0.008515,               0.008515
                     12,                0.80887,                0.02052,                0.06102,                 5.2262,                0.00835,                0.00835,                0.00835
                     13,                0.74512,                0.02322,                0.05778,                 5.2251,               0.008185,               0.008185,               0.008185
                     14,                0.69417,                0.02214,                0.05778,                 5.2255,                0.00802,                0.00802,                0.00802
                     15,                0.64059,                0.02484,                 0.0594,                 5.2233,               0.007855,               0.007855,               0.007855
                     16,                0.57809,                0.02484,                0.06102,                  5.223,                0.00769,                0.00769,                0.00769
                     17,                0.53315,                0.02484,                0.05832,                 5.2231,               0.007525,               0.007525,               0.007525
                     18,                 0.4929,                0.02484,                0.05886,                 5.2229,                0.00736,                0.00736,                0.00736
                     19,                0.44476,                0.02538,                0.06048,                 5.2225,               0.007195,               0.007195,               0.007195
                     20,                0.40961,                0.02538,                0.05886,                 5.2225,                0.00703,                0.00703,                0.00703
                     21,                0.37879,                0.02538,                0.05994,                 5.2223,               0.006865,               0.006865,               0.006865
                     22,                0.33415,                0.02646,                0.06048,                 5.2217,                 0.0067,                 0.0067,                 0.0067
                     23,                0.30741,                0.02646,                0.05832,                 5.2217,               0.006535,               0.006535,               0.006535
                     24,                0.27388,                0.02592,                 0.0594,                 5.2214,                0.00637,                0.00637,                0.00637
                     25,                0.25827,                0.02538,                0.05886,                 5.2213,               0.006205,               0.006205,               0.006205
                     26,                0.22179,                0.02538,                 0.0594,                 5.2212,                0.00604,                0.00604,                0.00604
                     27,                  0.214,                0.02538,                0.05994,                 5.2211,               0.005875,               0.005875,               0.005875
                     28,                0.18324,                0.02538,                0.05778,                  5.221,                0.00571,                0.00571,                0.00571
                     29,                 0.1646,                0.02538,                0.05994,                 5.2211,               0.005545,               0.005545,               0.005545
                     30,                0.13651,                0.02538,                0.05886,                 5.2211,                0.00538,                0.00538,                0.00538
                     31,                0.12128,                0.02538,                 0.0594,                  5.221,               0.005215,               0.005215,               0.005215
                     32,                0.10516,                0.02538,                 0.0594,                 5.2212,                0.00505,                0.00505,                0.00505
                     33,                0.09264,                0.02538,                 0.0594,                 5.2211,               0.004885,               0.004885,               0.004885
                     34,                0.06568,                0.02592,                 0.0594,                 5.2211,                0.00472,                0.00472,                0.00472
                     35,                0.04836,                0.02592,                0.05832,                 5.2212,               0.004555,               0.004555,               0.004555
                     36,                0.04465,                0.02538,                0.05886,                 5.2209,                0.00439,                0.00439,                0.00439
                     37,                0.02997,                0.02484,                0.05886,                 5.2212,               0.004225,               0.004225,               0.004225
                     38,                0.03188,                0.02484,                0.05886,                 5.2212,                0.00406,                0.00406,                0.00406
                     39,                0.01797,                0.02484,                 0.0594,                 5.2214,               0.003895,               0.003895,               0.003895
                     40,                0.01121,                0.02484,                0.05994,                 5.2213,                0.00373,                0.00373,                0.00373
                     41,                0.00766,                0.02484,                0.05994,                 5.2213,               0.003565,               0.003565,               0.003565
                     42,                0.00568,                0.02484,                0.05994,                 5.2212,                 0.0034,                 0.0034,                 0.0034
                     43,                0.00452,                0.02538,                0.05994,                  5.221,               0.003235,               0.003235,               0.003235
                     44,                0.00491,                0.02538,                0.05994,                 5.2212,                0.00307,                0.00307,                0.00307
                     45,                0.00442,                0.02538,                 0.0594,                 5.2214,               0.002905,               0.002905,               0.002905
                     46,                 0.0045,                0.02538,                0.06048,                  5.221,                0.00274,                0.00274,                0.00274
                     47,                0.00394,                0.02538,                0.06048,                 5.2214,               0.002575,               0.002575,               0.002575
                     48,                0.00386,                0.02592,                0.06048,                  5.221,                0.00241,                0.00241,                0.00241
                     49,                0.00362,                0.02538,                0.06048,                 5.2211,               0.002245,               0.002245,               0.002245
                     50,                0.00369,                0.02484,                0.06048,                  5.221,                0.00208,                0.00208,                0.00208
                     51,                0.00397,                0.02538,                0.06048,                  5.221,               0.001915,               0.001915,               0.001915
                     52,                0.00345,                0.02538,                0.06048,                  5.221,                0.00175,                0.00175,                0.00175
                     53,                0.00342,                0.02538,                0.05994,                  5.221,               0.001585,               0.001585,               0.001585
                     54,                0.00323,                0.02538,                0.06048,                 5.2209,                0.00142,                0.00142,                0.00142
                     55,                0.00315,                0.02538,                0.06102,                 5.2209,               0.001255,               0.001255,               0.001255
                     56,                0.00314,                0.02538,                0.06102,                 5.2208,                0.00109,                0.00109,                0.00109
                     57,                0.00322,                0.02538,                 0.0621,                 5.2209,               0.000925,               0.000925,               0.000925
                     58,                0.00312,                0.02592,                 0.0621,                 5.2212,                0.00076,                0.00076,                0.00076
                     59,                0.00318,                0.02592,                 0.0621,                  5.221,               0.000595,               0.000595,               0.000595
                     60,                0.00307,                0.02592,                 0.0621,                  5.221,                0.00043,                0.00043,                0.00043
